pmid,news_mention,news_count,tier1,tier2,tier3,tier4
29439113,0.0,0.0,0.0,0.0,0.0,0.0
29372971,0.0,0.0,0.0,0.0,0.0,0.0
29372808,0.0,0.0,0.0,0.0,0.0,0.0
29368908,0.0,0.0,0.0,0.0,0.0,0.0
29368881,0.0,0.0,0.0,0.0,0.0,0.0
29368837,0.0,0.0,0.0,0.0,0.0,0.0
29292975,0.0,0.0,0.0,0.0,0.0,0.0
29054888,0.0,0.0,0.0,0.0,0.0,0.0
28949870,0.0,0.0,0.0,0.0,0.0,0.0
28949869,0.0,0.0,0.0,0.0,0.0,0.0
28949453,0.0,0.0,0.0,0.0,0.0,0.0
28699720,0.0,0.0,0.0,0.0,0.0,0.0
28651980,0.0,0.0,0.0,0.0,0.0,0.0
28629292,0.0,0.0,0.0,0.0,0.0,0.0
28552172,0.0,0.0,0.0,0.0,0.0,0.0
28528689,0.0,0.0,0.0,0.0,0.0,0.0
28528688,0.0,0.0,0.0,0.0,0.0,0.0
28528687,0.0,0.0,0.0,0.0,0.0,0.0
28528686,0.0,0.0,0.0,0.0,0.0,0.0
28528685,0.0,0.0,0.0,0.0,0.0,0.0
28522938,0.0,0.0,0.0,0.0,0.0,0.0
28438108,0.0,0.0,0.0,0.0,0.0,0.0
28408015,0.0,0.0,0.0,0.0,0.0,0.0
28408005,0.0,0.0,0.0,0.0,0.0,0.0
28389570,1.0,2.0,0.0,1.0,1.0,0.0
28385594,0.0,0.0,0.0,0.0,0.0,0.0
28342452,0.0,0.0,0.0,0.0,0.0,0.0
28342451,0.0,0.0,0.0,0.0,0.0,0.0
28341495,0.0,0.0,0.0,0.0,0.0,0.0
28341441,0.0,0.0,0.0,0.0,0.0,0.0
28340971,0.0,0.0,0.0,0.0,0.0,0.0
28340913,0.0,0.0,0.0,0.0,0.0,0.0
28333021,0.0,0.0,0.0,0.0,0.0,0.0
28333018,0.0,0.0,0.0,0.0,0.0,0.0
28333017,0.0,0.0,0.0,0.0,0.0,0.0
28333014,0.0,0.0,0.0,0.0,0.0,0.0
28333011,0.0,0.0,0.0,0.0,0.0,0.0
28333010,0.0,0.0,0.0,0.0,0.0,0.0
28332990,0.0,0.0,0.0,0.0,0.0,0.0
28330940,0.0,0.0,0.0,0.0,0.0,0.0
28325216,0.0,0.0,0.0,0.0,0.0,0.0
28325212,0.0,0.0,0.0,0.0,0.0,0.0
28299977,0.0,0.0,0.0,0.0,0.0,0.0
28292479,1.0,2.0,0.0,0.0,1.0,1.0
28291693,0.0,0.0,0.0,0.0,0.0,0.0
28279918,0.0,0.0,0.0,0.0,0.0,0.0
28279146,0.0,0.0,0.0,0.0,0.0,0.0
28279145,0.0,0.0,0.0,0.0,0.0,0.0
28277287,0.0,0.0,0.0,0.0,0.0,0.0
28277236,0.0,0.0,0.0,0.0,0.0,0.0
28273716,0.0,0.0,0.0,0.0,0.0,0.0
28269733,0.0,0.0,0.0,0.0,0.0,0.0
28269654,0.0,0.0,0.0,0.0,0.0,0.0
28269652,0.0,0.0,0.0,0.0,0.0,0.0
28269646,0.0,0.0,0.0,0.0,0.0,0.0
28269612,0.0,0.0,0.0,0.0,0.0,0.0
28269607,0.0,0.0,0.0,0.0,0.0,0.0
28269557,0.0,0.0,0.0,0.0,0.0,0.0
28269540,0.0,0.0,0.0,0.0,0.0,0.0
28269536,0.0,0.0,0.0,0.0,0.0,0.0
28269526,0.0,0.0,0.0,0.0,0.0,0.0
28269511,0.0,0.0,0.0,0.0,0.0,0.0
28269482,0.0,0.0,0.0,0.0,0.0,0.0
28269443,0.0,0.0,0.0,0.0,0.0,0.0
28269442,0.0,0.0,0.0,0.0,0.0,0.0
28269438,0.0,0.0,0.0,0.0,0.0,0.0
28269429,0.0,0.0,0.0,0.0,0.0,0.0
