altmetric_id,title,country,tiers
washington_post,"Washington Post",US,tier1
daily_mail,"Daily Mail",GB,tier1
the_irish_times,"The Irish Times",IE,tier1
telegraph_co_uk,Telegraph.co.uk,GB,tier1
the_economist,"The Economist",GB,tier1
los_angeles_times,"Los Angeles Times",US,tier1
associated_press,"Associated Press",US,tier1
reuters,Reuters,US,tier1
time_magazine,"TIME Magazine",US,tier1
chicago_tribune,"Chicago Tribune",US,tier2
suddeutsche_de,Süddeutsche.de,DE,tier2
christian_science_monitor,"Christian Science Monitor",US,tier2
the_independent,"The Independent",GB,tier1
cbc,CBC,CA,tier1
the_national_post,"The National Post",CA,tier1
the_ottawa_citizen,"The Ottawa Citizen",CA,tier2
the_globe_and_mail,"The Globe and Mail",CA,tier1
macleans,Macleans,CA,tier1
ctv_news,"CTV News",CA,tier1
the_toronto_star,"The Toronto Star",CA,tier2
science_aaas,Science/AAAS,US,tier1
new_york_times,"New York Times",US,tier1
usa_today,"USA Today",US,tier1
wall_street_journal,"Wall Street Journal",US,tier1
the_denver_post,"The Denver Post",US,tier2
fox_news,"FOX News",US,tier1
abc_news,"ABC News",US,tier1
cnn_news,"CNN News",US,tier1
google_news,"Google News",US,tier1
msnbc,MSNBC,US,tier1
livescience,LiveScience,US,tier3
yahoo_news,"Yahoo! News",US,tier1
houston_chronicle,"Houston Chronicle",US,tier2
orlando_sentinel,"Orlando Sentinel",US,tier2
baltimore_sun,"Baltimore Sun",US,tier2
hartford_courant,"Hartford Courant",US,tier2
south_florida_sun_sentinel,"South Florida Sun-Sentinel",US,tier2
new_scientist,"New Scientist",GB,tier1
npr,NPR,US,tier1
medical_news_today,"Medical News Today",GB,tier3
wired_co_uk,Wired.co.uk,GB,tier1
the_verge,"The Verge",US,tier3
poynter,Poynter,US,tier3
national_geographic,"National Geographic",US,tier1
mit_technology_review,"MIT Technology Review",US,tier2
aaas,AAAS,US,tier1
journalists_resource,"Journalist's Resource",US,tier3
boston_herald,"Boston Herald",US,tier2
webmd_news,"WebMD News",US,tier3
metro_uk,"Metro UK",GB,tier2
sky_news,"Sky News",GB,tier2
examiner_com,Examiner.com,US,tier2
san_francisco_chronicle,"San Francisco Chronicle",US,tier1
boston_com,Boston.com,US,tier1
medscape,Medscape,US,tier3
forbes,Forbes,US,tier1
upi_com,UPI.com,US,tier1
le_monde,"Le Monde",FR,tier1
international_business_times,"International Business Times",US,tier2
the_atlantic,"The Atlantic",US,tier1
usnews_com,USNews.com,US,tier1
times_of_india,"Times of India",IN,tier1
pbs_newshour,PBS,US,tier2
health_com,Health.com,US,tier3
the_mirror,"The Mirror",GB,tier2
cbs_detroit,"CBS Local",US,tier2
pittsburgh_post_gazette,"Pittsburgh Post-Gazette",US,tier2
star_tribune,"Star Tribune",US,tier2
elements,Elements,GB,tier3
medwirenews,medwireNews,GB,tier3
the_conversation,"The Conversation",AU,tier2
pro_physik_de,pro-physik.de,DE,tier3
materialsviews,"Advanced Science News ",DE,tier3
chemistryviews,ChemistryViews,DE,tier3
ecancer,ecancer,GB,tier3
nature,Nature,GB,tier1
eurekalert,EurekAlert!,US,tier1
seedmagazine_com,SEEDMAGAZINE.COM,US,tier3
american_medical_news,"American Medical News",US,tier3
cosmos_magazine,"COSMOS magazine",AU,tier3
mother_jones,"Mother Jones",US,tier2
physicsworld_com,physicsworld.com,GB,tier3
popular_science,"Popular Science",US,tier1
wissenschaft_de,wissenschaft.de,DE,tier3
elmundo_es,elmundo.es,ES,tier1
redorbit,redOrbit,US,tier2
stuff_co_nz,Stuff.co.nz,NZ,tier2
sydney_morning_herald,"Sydney Morning Herald",AU,tier1
slate_magazine,"Slate Magazine",US,tier1
corriere_della_sera,"Corriere della Sera",IT,tier1
le_figaro,"Le Figaro",FR,tier1
zeit_online,"ZEIT ONLINE",DE,tier1
el_pais,"El País",ES,tier1
spiegel_online,"SPIEGEL ONLINE",DE,tier1
chemical_engineering_news,"Chemical & Engineering News",US,tier3
the_scientist_magazine,"The Scientist Magazine",CA,tier3
ieee_spectrum,"IEEE Spectrum",US,tier3
chemistry_world,"Chemistry World",GB,tier3
discover_magazine,"Discover Magazine",US,tier1
science_news,"Science News",US,tier3
scientific_american,"Scientific American",US,tier1
bbc_news,"BBC News",GB,tier1
the_guardian,"The Guardian",GB,tier1
science_media_centre,"Science Media Centre",GB,tier3
natural_environment_research_council_planet_earth_online,"Natural Environment Research Council: Planet Earth Online",GB,tier3
medical_daily,"Medical Daily",US,tier3
today,TODAY,US,tier2
orange_county_register,"Orange County Register",US,tier2
u_s_news_world_report,"U.S. News & World Report",US,tier1
usa_weekend,"USA Weekend",US,tier1
voice_of_america,"Voice of America",US,tier2
the_daily_beast,"The Daily Beast",US,tier2
marketwatch,MarketWatch,US,tier3
statesman_com,Statesman.com,US,tier2
philly_com,Philly.com,US,tier2
seattle_post_intelligencer,"Seattle Post-Intelligencer",US,tier2
new_york_daily_news,"New York Daily News",US,tier2
the_register,"The Register",GB,tier3
global_news,"Global News",CA,tier2
nieman_journalism_lab,"Nieman Journalism Lab",US,tier2
foreign_affairs,"Foreign Affairs",US,tier3
the_times,"The Times",GB,tier1
the_scotsman,"The Scotsman",GB,tier2
the_express,"The Express",GB,tier2
metronews_ca,Metronews.ca,CA,tier2
popular_mechanics,"Popular Mechanics",US,tier1
news1130,News1130,CA,tier2
vancouver_observer,"Vancouver Observer",CA,tier2
canoe_ca,Canoe.ca,CA,tier2
the_province,"The Province",CA,tier2
mashable,Mashable,US,tier2
space_com,Space.com,US,tier3
herald_sun,"Herald Sun",US,tier2
the_australian,"The Australian",AU,tier1
news_com_au,News.com.au,AU,tier2
courier_mail,"Courier Mail",AU,tier2
perth_now,"Perth Now",AU,tier2
the_mercury,"The Mercury",AU,tier2
abc_net_au,ABC.net.au,AU,tier1
